id,Q1 
1,6
2,5
3,6
4,5
5,6
6,6
7,6
8,2.5
9,5
10,6
11,4
12,2
13,5
14,5
15,6
16,5.5
17,6
18,2
19,6
20,2
21,4
22,2
23,6
24,2
25,3
26,6
27,4
28,2
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,5
38,2
39,5
40,6
41,2
42,5
43,3
44,6
45,1
46,4
47,4
48,2
49,5
50,6
51,3
52,6
53,3
54,3
55,3
56,1
57,3
58,6
59,6
60,1
61,5.5
62,5
63,2
64,4
65,5
66,4
67,2
68,6
69,4
70,0
71,5
72,3
73,5
74,5
75,4
76,3
77,1
78,5
79,5
80,6
81,6
82,2
83,6
84,6
85,6
86,3
87,6
88,0
89,6
90,3
91,4
92,5
93,5
94,5
95,6
96,1.5
97,4
98,4
99,6
100,3
101,1
102,4
103,6
104,4
105,6
106,6
107,5
108,6
109,6
110,3
111,4
112,4
113,2
114,6
115,5
116,4
117,4
118,5
119,6
120,4
121,5
122,5
123,4
124,5
125,5
126,3
127,5
128,3
129,6
