id,Q1 
1,4
2,6
3,5
4,1
5,2
6,5
7,0
8,0
9,3
10,3
11,0
12,3
13,0
14,4
15,3
16,3
17,2
18,5
19,0
20,5
21,6
22,6
23,3
24,1
25,5
26,4
27,4
28,0
29,1
30,4
31,1
32,5
33,2
34,4
35,4
36,6
37,6
38,6
39,5
40,1
41,6
42,3
43,2
44,4
45,1
46,3
47,4
48,2
49,1
50,4
51,4
52,3
53,3
54,2
55,5
56,6
57,2
58,1
59,1
60,6
61,4
62,6
63,3
64,1
65,3
66,1
67,1
68,5
69,4
70,4
71,3
72,2
73,1
74,2
75,0
76,0
77,1
78,5
79,6
80,2
81,5
82,5
83,0
84,2
85,4
86,2
87,4
88,3
89,1
90,5
91,6
92,0
93,6
94,5
95,0
96,1
97,6
98,0
99,4
100,1
101,6
102,1
103,0
104,6
105,1
106,5
107,4
108,5
109,3
110,1
111,6
112,1
113,6
114,2
115,3
116,2
117,0
118,5
119,1
120,0
121,1
122,2
123,2
124,2
125,2
126,4
127,6
128,0
129,0
