id,Q2
1,4
2,3
3,2
4,6
5,3
6,2
7,3.5
8,3.5
9,4
10,4
11,0
12,1
13,2
14,0
15,6
16,5
17,6
18,0
19,4
20,1
21,1
22,5
23,6
24,4
25,0
26,2
27,2.5
28,2
29,0
30,7
31,0
32,4
33,0
34,5
35,1
36,4
37,1
38,0
39,1
40,0
41,2
42,2
43,6
44,3
45,1
46,4
47,0
48,0
49,6
50,2
51,6
52,3
53,1
54,3
55,2
56,0
57,1
58,2
59,3
60,0
61,1
62,4
63,6
64,4
65,1
66,4
67,0
68,2.5
69,4
70,1
71,0
72,2
73,4
74,0
75,1
76,3
77,1
78,1
79,4
80,6
81,4
82,0
83,4
84,5
85,2
86,0
87,5
88,1
89,2
90,0
91,1
92,0.5
93,3
94,2
95,6
96,1
97,0
98,2.5
99,3
100,0
101,3
102,1
103,6
104,2
105,3
106,4
107,2
108,6
109,0
110,3
111,3
112,0
113,0
114,2
115,6
116,3
117,4
118,1
119,5
120,2
121,6
122,4
123,3
124,4
125,2.5
126,2
127,4
128,2.5
129,4
