id,studiengaenge,total_score_with_Bouns,Bouns,total_score,Q1 ,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
1,BT,33,5,28,4,4,3,0,5,3,3,0,6
2,II,37,0,37,6,3,1,4,8,6,3,3,3
3,MA,33.5,5,28.5,5,2,3,0,5.5,1,3,3,6
4,IN,32.5,1.5,31,1,6,1,2,8,4,3,0,6
5,IN,27,1.5,25.5,2,3,2,4,3.5,3,3,0,5
6,BT,38,5,33,5,2,4,4,6,4,0,3,5
7,BT,21,2,19,0,3.5,2,5.5,5,0,2,0,1
8,II,25.5,3,22.5,0,3.5,0,4,4,2,2,2,5
9,BT,32.5,4.5,28,3,4,4,0,6,1,3,2,5
10,BT,28.5,3.5,25,3,4,0,0,8,1,2,3,4
11,BT,13.5,0,13.5,0,0,3,0,0.5,5,2,3,0
12,IN,19.5,2.5,17,3,1,4,0,0,7,0,2,0
13,IN,24.5,3.5,21,0,2,1,4,3,3,0,2,6
14,II,17,0,17,4,0,2,2.5,2.5,3,0,3,0
15,BT,16,0,16,3,6,0,0,0,2,3,2,0
16,BT,43.5,3.5,40,3,5,4,6,6,7,3,0,6
17,BT,31,4,27,2,6,2,2,4,2,2,3,4
18,BT,19,5,14,5,0,3,0,0,3,1,2,0
19,BT,39.5,3.5,36,0,4,3,4,8,7,2,2,6
20,BT,27,4.5,22.5,5,1,2,4,5.5,1,2,0,2
21,IN,24,1.5,22.5,6,1,1,4.5,2,0,2,0,6
22,IN,16,0,16,6,5,0,0,0,3,0,2,0
23,II,38.5,0.5,38,3,6,1,6,7,2,3,3,7
24,BT,32.5,3.5,29,1,4,1,5,8,0,2,3,5
25,BT,21,2,19,5,0,3,2,2,4,0,3,0
26,II,35.5,0,35.5,4,2,0,4,6.5,7,3,3,6
27,IN,29.5,0.5,29,4,2.5,2,6,5.5,1,3,3,2
28,BT,18.5,5,13.5,0,2,3,0,3,1,1.5,2,1
29,BT,27,4,23,1,0,3,0,7,0,3,3,6
30,IN,41.5,3.5,38,4,7,2,6,8,1,3,1,6
31,IN,7,0,7,1,0,1,0,0,1,1,3,0
32,IN,39.5,4,35.5,5,4,2,6,6.5,2,2,2,6
33,IN,22,3,19,2,0,2,3,0,4,0,2,6
34,BT,32.5,0,32.5,4,5,1,2,5.5,6,2,1,6
35,IN,27.5,1.5,26,4,1,3,0,5,5,3,2,3
36,?,35,5,30,6,4,0,5,8,5,2,0,0
37,BT,31,4,27,6,1,4,4,4,5,3,0,0
38,IN,22.5,1.5,21,6,0,1,0,2,2,3,3,4
39,II,32.5,4.5,28,5,1,4,3,8,2,0,0,5
40,IN,10.5,,7.5,1,0,3,0,0.5,2,0,1,0
41,IN,16,0,16,6,2,2,4,0,0,0,0,2
42,IN,19.5,0,19.5,3,2,4,0,3.5,0,0,2,5
43,?,30,4.5,25.5,2,6,2,0,5.5,6,3,1,0
44,IN,30,2,28,4,3,3,4,3,4,2,3,2
45,BT,8,,8,1,1,2,0,0,1,2,1,0
46,BT,26,0,26,3,4,4,0,5,1,2,2,5
47,II,27,2,25,4,0,3,0,5,7,3,1,2
48,BT,11,4,7,2,0,1,0,0,3,0,1,0
49,BT,22,1.5,20.5,1,6,4,0,3.5,1,2,2,1
50,BT,35,4.5,30.5,4,2,1,6,7.5,0,2,2,6
51,II,43.5,3.5,40,4,6,4,6,6,2,3,3,6
52,BT,37,4,33,3,3,4,3,4,7,3,0,6
53,BT,11.5,4.5,7,3,1,1,0,0,0,0,2,0
54,II,25.5,1,24.5,2,3,0,6,4.5,3,2,1,3
55,BT,26,0,26,5,2,1,4,5,1,3,3,2
56,IN,15.5,0.5,15,6,0,4,0,0,2,0,2,1
57,IN,23,0,23,2,1,0,6,5,2,3,3,1
58,IN,22,0.5,21.5,1,2,0,0,5.5,6,2,1,4
59,BT,33,3.5,29.5,1,3,1,4,7.5,2,3,2,6
60,?,12,0,12,6,0,4,0,0,0,1,0,1
61,BT,19,4.5,14.5,4,1,3,0,0,0,2.5,3,1
62,BT,43,4.5,38.5,6,4,1,6,5.5,6,3,1,6
63,BT,28.5,0,28.5,3,6,2,3.5,6,1,3,3,1
64,IN,30.5,6,24.5,1,4,0,2,3.5,5,3,0,6
65,MA,27.5,2.5,25,3,1,0,4,4,2,3,3,5
66,BT,19.5,2.5,17,1,4,2,0,3,3,2,0,2
67,II,16,0,16,1,0,2,1,0,3,1,3,5
68,II,32.5,1,31.5,5,2.5,0,6,6,5,0,1,6
