id,total_score
1,28
2,37
3,28.5
4,31
5,25.5
6,33
7,19
8,22.5
9,28
10,25
11,13.5
12,17
13,21
14,17
15,16
16,40
17,27
18,14
19,36
20,22.5
21,22.5
22,16
23,38
24,29
25,19
26,35.5
27,29
28,13.5
29,23
30,38
31,7
32,35.5
33,19
34,32.5
35,26
36,30
37,27
38,21
39,28
40,7.5
41,16
42,19.5
43,25.5
44,28
45,8
46,26
47,25
48,7
49,20.5
50,30.5
51,40
52,33
53,7
54,24.5
55,26
56,15
57,23
58,21.5
59,29.5
60,12
61,14.5
62,38.5
63,28.5
64,24.5
65,25
66,17
67,16
68,31.5
69,28
70,14
71,21
72,14
73,32
74,19.5
75,24
76,22.5
77,21
78,22
79,18
80,34
81,40.5
82,15
83,28
84,29.5
85,34
86,22
87,33
88,9
89,10.5
90,15
91,22
92,14
93,33
94,31
95,33.5
96,20
97,29
98,26
99,16.5
100,5
101,31
102,31.5
103,35
104,14
105,35
106,36
107,17
108,39
109,16
110,32
111,20
112,13
113,10.5
114,35.5
115,37.5
116,27.5
117,23
118,23
119,34
120,13
121,33
122,32.5
123,25
124,26
125,13.5
126,19
127,36
128,25
129,33.5
